Drug,Country,Total_Observed,Total_Predicted
Ampicillin_I,Switzerland,1131,1131.0000000000005
Ampicillin_I,Taiwan,2055,2054.9999999999927
Ampicillin_I,Thailand,1842,1841.999999999994
Ampicillin_I,Turkey,1705,1705.0000000000002
Ampicillin_I,Ukraine,173,172.99999999999977
Ampicillin_I,United Kingdom,2878,2877.9999999999864
Ampicillin_I,United States,20907,20906.999999999818
Ampicillin_I,Venezuela,1898,1897.9999999999964
Ampicillin_I,Vietnam,84,83.99999999999899
Cefepime_I,Argentina,1070,1069.9999999999866
Cefepime_I,Australia,175,175.00000000000048
Cefepime_I,Austria,112,111.99999999999913
Cefepime_I,Belgium,740,739.9999999999981
Cefepime_I,Brazil,948,947.9999999999983
Cefepime_I,Canada,239,238.999999999999
Cefepime_I,Chile,907,906.9999999999983
Cefepime_I,China,2528,2527.999999999996
Cefepime_I,Colombia,637,637.0000000000014
Cefepime_I,Costa Rica,22,21.999999999999844
Cefepime_I,Croatia,549,549.0000000000008
Cefepime_I,Czech Republic,673,673.0000000000025
Cefepime_I,Denmark,83,82.9999999999999
Cefepime_I,Dominican Republic,24,23.999999999999993
Cefepime_I,Finland,17,16.999999999999968
Cefepime_I,France,1433,1432.999999999997
Cefepime_I,Germany,1008,1007.9999999999998
Cefepime_I,Greece,1124,1123.9999999999984
Cefepime_I,Guatemala,351,350.99999999999983
Cefepime_I,Hong Kong,94,94.00000000000003
Cefepime_I,Hungary,565,564.9999999999992
Cefepime_I,India,660,660.0000000000002
Cefepime_I,Ireland,212,211.99999999999918
Cefepime_I,Israel,714,713.9999999999981
Cefepime_I,Italy,3476,3475.999999999985
Cefepime_I,Japan,96,96.00000000000031
Cefepime_I,Jordan,159,158.99999999999983
Cefepime_I,Kenya,86,86.0000000000001
Cefepime_I,"Korea, South",698,697.9999999999998
Cefepime_I,Kuwait,745,744.9999999999977
Cefepime_I,Latvia,192,191.9999999999991
Cefepime_I,Lithuania,185,185.00000000000006
Cefepime_I,Malaysia,274,274.0000000000003
Cefepime_I,Mexico,1864,1863.9999999999964
Cefepime_I,Morocco,240,240.00000000000023
Cefepime_I,Netherlands,81,80.99999999999999
Cefepime_I,Nigeria,348,348.0000000000004
Cefepime_I,Pakistan,192,191.9999999999998
