Drug,Species,Total_Observed,Total_Predicted
Cefepime_I,Klebsiella planticola,2,1.9999999999999922
Cefepime_I,Klebsiella pneumoniae,11709,11708.999999999854
Cefepime_I,Klebsiella spp,1,1.00000000000001
Cefepime_I,Klebsiella variicola,35,34.99999999999982
Cefepime_I,"Klebsiella, non-speciated",70,70.00000000000007
Cefepime_I,Kluyvera ascorbata,1,1.0000000000000004
Cefepime_I,Lelliottia amnigena,2,2.0000000000000395
Cefepime_I,Morganella morganii,64,63.99999999999989
Cefepime_I,Pantoea dispersa,1,1.000000000000005
Cefepime_I,Pluralibacter gergoviae,5,4.999999999999992
Cefepime_I,Proteus hauseri,2,1.999999999999994
Cefepime_I,Proteus mirabilis,400,400.000000000001
Cefepime_I,Proteus vulgaris,18,18.000000000000117
Cefepime_I,Providencia rettgeri,39,39.00000000000032
Cefepime_I,Providencia stuartii,100,99.99999999999952
Cefepime_I,"Providencia, non-speciated",4,3.9999999999999645
Cefepime_I,Pseudomonas aeruginosa,4731,4730.999999999975
Cefepime_I,Pseudomonas mosselii,1,1.0000000000000295
Cefepime_I,Pseudomonas putida,2,2.0000000000000138
Cefepime_I,Raoultella ornithinolytica,11,11.000000000000213
Cefepime_I,Serratia ficaria,1,0.9999999999999998
Cefepime_I,Serratia liquefaciens,2,2.0000000000000124
Cefepime_I,Serratia marcescens,466,466.0000000000021
Cefepime_I,Serratia odorifera,1,0.9999999999999986
Cefepime_I,Serratia rubidaea,1,1.0000000000000029
Cefepime_I,Serratia ureilytica,6,5.999999999999982
Cefepime_I,"Serratia, non-speciated",4,3.999999999999993
Ceftazidime_I,Acinetobacter anitratus,13,12.999999999998685
Ceftazidime_I,Acinetobacter baumannii,7742,7741.999999999935
Ceftazidime_I,Acinetobacter baylyi,5,4.999999999999974
Ceftazidime_I,Acinetobacter bereziniae,5,4.999999999999932
Ceftazidime_I,Acinetobacter calcoaceticus,4,3.999999999999941
Ceftazidime_I,Acinetobacter dijkshoorniae,6,6.000000000000035
Ceftazidime_I,Acinetobacter guillouiae,2,2.0000000000000027
Ceftazidime_I,Acinetobacter haemolyticus,3,3.0000000000000475
Ceftazidime_I,Acinetobacter johnsonii,7,7.000000000000016
Ceftazidime_I,Acinetobacter junii,6,5.999999999999927
Ceftazidime_I,Acinetobacter lwoffii,29,29.00000000000009
Ceftazidime_I,Acinetobacter nosocomialis,89,89.00000000000009
Ceftazidime_I,Acinetobacter parvus,1,0.9999999999999853
Ceftazidime_I,Acinetobacter pitii,81,81.00000000000013
Ceftazidime_I,Acinetobacter radioresistens,2,2.00000000000002
Ceftazidime_I,Acinetobacter schindleri,2,2.000000000000086
Ceftazidime_I,Acinetobacter seifertii,1,1.0000000000000104
Ceftazidime_I,Acinetobacter spp,2,1.999999999999996
Ceftazidime_I,Acinetobacter tjernbergiae,1,1.0000000000000007
Ceftazidime_I,Acinetobacter ursingii,86,85.9999999999996
Ceftazidime_I,"Acinetobacter, non-speciated",247,246.99999999999943
Ceftazidime_I,Aeromonas spp,1,0.9999999999999953
Ceftazidime_I,Citrobacter amalonaticus,5,5.000000000000007
Ceftazidime_I,Citrobacter braakii,67,66.99999999999964
Ceftazidime_I,Citrobacter diversus,1,1.000000000000013
Ceftazidime_I,Citrobacter farmeri,6,6.000000000000031
Ceftazidime_I,Citrobacter freundii,1300,1299.999999999996
Ceftazidime_I,Citrobacter koseri,79,79.00000000000048
Ceftazidime_I,Citrobacter murliniae,3,2.9999999999999805
Ceftazidime_I,Citrobacter sedlakii,3,3.000000000000004
Ceftazidime_I,Citrobacter spp,2,1.9999999999999645
Ceftazidime_I,Citrobacter youngae,1,1.0000000000000187
Ceftazidime_I,"Citrobacter, non-speciated",44,43.99999999999965
Ceftazidime_I,Enterobacter agglomerans,1,1.000000000000016
Ceftazidime_I,Enterobacter asburiae,273,273.0000000000003
Ceftazidime_I,Enterobacter bugandensis,1,0.9999999999999774
Ceftazidime_I,Enterobacter cloacae,4891,4890.999999999992
Ceftazidime_I,Enterobacter hormaechi,7,6.999999999999988
Ceftazidime_I,Enterobacter kobei,132,131.9999999999989
Ceftazidime_I,Enterobacter ludwigii,24,23.99999999999995
Ceftazidime_I,Enterobacter sakazakii,1,1
Ceftazidime_I,Enterobacter spp,3,2.9999999999999996
Ceftazidime_I,Enterobacter xiangfangensis,5,4.999999999999956
Ceftazidime_I,"Enterobacter, non-speciated",169,169
Ceftazidime_I,Escherichia coli,6880,6879.999999999993
Ceftazidime_I,Hafnia alvei,1,1.0000000000000056
Ceftazidime_I,Klebsiella aerogenes,1760,1759.9999999999961
Ceftazidime_I,Klebsiella oxytoca,332,331.99999999999966
Ceftazidime_I,Klebsiella planticola,1,0.9999999999999993
Ceftazidime_I,Klebsiella pneumoniae,11947,11947.000000000107
Ceftazidime_I,Klebsiella spp,2,1.9999999999999905
Ceftazidime_I,Klebsiella variicola,42,41.99999999999956
Ceftazidime_I,"Klebsiella, non-speciated",65,64.9999999999995
Ceftazidime_I,Lelliottia amnigena,3,2.9999999999999774
Ceftazidime_I,Morganella morganii,297,296.9999999999985
Ceftazidime_I,Myroides odoratimimus,1,0.9999999999999474
Ceftazidime_I,Pantoea dispersa,1,0.9999999999999987
Ceftazidime_I,Pluralibacter gergoviae,1,0.9999999999999967
Ceftazidime_I,Proteus hauseri,1,1
Ceftazidime_I,Proteus mirabilis,175,174.99999999999878
Ceftazidime_I,Proteus vulgaris,20,19.99999999999995
Ceftazidime_I,Providencia rettgeri,62,61.99999999999998
Ceftazidime_I,Providencia stuartii,128,127.99999999999912
Ceftazidime_I,"Providencia, non-speciated",7,7.000000000000021
Ceftazidime_I,Pseudomonas aeruginosa,6939,6939.000000000001
Ceftazidime_I,Pseudomonas putida,3,2.9999999999999694
Ceftazidime_I,Raoultella ornithinolytica,16,15.999999999999975
Ceftazidime_I,Serratia liquefaciens,5,4.9999999999999645
Ceftazidime_I,Serratia marcescens,372,371.99999999999795
Ceftazidime_I,Serratia rubidaea,1,0.9999999999999982
Ceftazidime_I,Serratia ureilytica,3,2.9999999999999694
Ceftazidime_I,"Serratia, non-speciated",1,0.9999999999999938
Ceftriaxone_I,Acinetobacter anitratus,14,13.999999999999918
Ceftriaxone_I,Acinetobacter baumannii,4297,4297.000000000012
Ceftriaxone_I,Acinetobacter baylyi,1,1.0000000000000184
Ceftriaxone_I,Acinetobacter calcoaceticus,5,4.999999999999976
Ceftriaxone_I,Acinetobacter guillouiae,3,3.0000000000000346
Ceftriaxone_I,Acinetobacter johnsonii,3,3.000000000000001
Ceftriaxone_I,Acinetobacter junii,9,9.000000000000025
Ceftriaxone_I,Acinetobacter lwoffii,11,10.999999999999936
Ceftriaxone_I,Acinetobacter nosocomialis,51,51.0000000000002
Ceftriaxone_I,Acinetobacter pitii,54,53.99999999999972
Ceftriaxone_I,Acinetobacter radioresistens,2,2.0000000000000315
Ceftriaxone_I,Acinetobacter tjernbergiae,1,0.9999999999999798
Ceftriaxone_I,Acinetobacter ursingii,20,20.000000000000036
Ceftriaxone_I,"Acinetobacter, non-speciated",101,100.99999999999986
Ceftriaxone_I,Citrobacter amalonaticus,9,9.000000000000039
Ceftriaxone_I,Citrobacter braakii,41,41.00000000000027
Ceftriaxone_I,Citrobacter farmeri,6,5.999999999999952
Ceftriaxone_I,Citrobacter freundii,957,956.9999999999968
Ceftriaxone_I,Citrobacter koseri,90,89.99999999999974
Ceftriaxone_I,Citrobacter murliniae,1,1.0000000000000073
Ceftriaxone_I,Citrobacter sedlakii,4,3.9999999999999245
Ceftriaxone_I,Citrobacter youngae,1,0.9999999999999916
Ceftriaxone_I,"Citrobacter, non-speciated",21,21.000000000000053
Ceftriaxone_I,Enterobacter agglomerans,24,24.0000000000001
Ceftriaxone_I,Enterobacter asburiae,270,269.99999999999943
Ceftriaxone_I,Enterobacter cloacae,5081,5081.000000000007
Ceftriaxone_I,Enterobacter hormaechi,9,8.999999999999961
Ceftriaxone_I,Enterobacter intermedium,2,2.0000000000000124
Ceftriaxone_I,Enterobacter kobei,119,118.99999999999997
Ceftriaxone_I,Enterobacter ludwigii,18,18.000000000000014
Ceftriaxone_I,Enterobacter sakazakii,5,4.999999999999998
Ceftriaxone_I,"Enterobacter, non-speciated",67,67.00000000000011
Ceftriaxone_I,Escherichia coli,7177,7176.999999999985
Ceftriaxone_I,Klebsiella aerogenes,1525,1525.0000000000018
Ceftriaxone_I,Klebsiella oxytoca,698,697.9999999999983
